Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2661	25#25	0.0#0.0	3.1794761605349276E-19#3.1972302876173876E-19	0#0	0#0	0#0	1#1	1.3#1.3	0#0	45#45	260.0#260.0	80.16529846191406#80.16529846191406	0#0	0#0	4#4	0#356	0#1	0#2	0#2	0#2	0#11	0#0	0#1	0#1	61236.953#61236.953	3402.053#3402.053	1629.3645#1629.3645	0.5431215#0.5431215	37.583336#37.583336	uploadsArtifactToS3.json
1963	9	0.01585230976343155	0.023635281420009535	0	0	0	1	1.89	0	5	56.0	106.02389526367188	0	0	3	0	0	0	0	0	0	0	0	0	5712.986	317.3881	272.04694	0.09068231	21.0	testRoundTripConfiguration.json
2997	6#6#6#6#5	0.07818859815597534#0.07818859815597534#0.07818859815597534#0.08287905156612396#0.3944147229194641	0.024541767755832836#0.024541767755832836#0.024541767755832836#0.025768438989431444#0.15163029022633406	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	2.0#2.0#2.0#2.0#1.96	0#0#0#0#0	7#7#7#7#4	49.0#49.0#49.0#49.0#35.0	113.34126281738281#113.34126281738281#113.34126281738281#113.34126281738281#118.16148376464844	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#7#63#271#2773	0#0#2#2#1	0#0#4#4#3	0#0#20#18#116	0#0#20#18#116	0#28#18#21#15	0#0#0#0#1	0#0#0#0#1	0#0#0#0#1	3827.8564#3827.8564#3827.8564#3827.8564#1665.7184	212.65869#212.65869#212.65869#212.65869#92.53991	235.5604#235.5604#235.5604#235.5604#164.5154	0.078520134#0.078520134#0.078520134#0.078520134#0.054838464	16.25#16.25#16.25#16.25#10.125	versionCheckShouldFailWithLetters.json
2997	10#10#10	7.415350992232561E-4#7.415350992232561E-4#3.0081981094554067E-4	4.687979251955314E-4#4.687979251955314E-4#1.3890790716319292E-4	0#0#0	0#0#0	0#0#0	1#1#1	1.83#1.83#1.83	0#0#0	7#7#8	83.0#83.0#88.0	102.32538604736328#102.32538604736328#101.86474609375	0#0#0	0#0#0	1#1#1	0#7#536	0#0#1	0#0#2	0#0#104	0#0#104	0#28#9	0#0#0	0#0#1	0#0#1	11850.61#11850.61#13475.414	658.36725#658.36725#748.6341	399.01047#399.01047#435.9693	0.13300349#0.13300349#0.1453231	29.699999#29.699999#30.90909	validatePluginInvalidActionTypeVersionFailure.json
2552	8#8	8.307152311317623E-4#8.463097619824111E-4	2.715193291429949E-5#1.6261649518291039E-4	0#0	0#0	0#0	1#1	1.94#1.94	0#0	10#8	87.0#77.0	105.23959350585938#105.952392578125	0#0	0#0	3#3	0#2552	0#2	0#4	0#89	0#89	0#10	0#0	0#0	0#0	7700.809#6255.6094	427.82272#347.53384	456.5697#398.08423	0.1521899#0.13269474	16.866667#15.714286	usesUsEast1AsDefaultRegion.json
2677	10#10#10	0.007513095159083605#0.0068143452517688274#0.006066226866096258	6.522431343146164E-5#6.621847867584112E-5#3.7609629629788166E-5	0#0#0	0#0#0	0#0#0	1#1#1	1.83#1.83#1.83	0#0#0	17#17#17	87.0#87.0#89.0	101.5876693725586#101.5876693725586#101.43367004394531	0#0#0	0#0#0	0#0#0	0#16#367	0#4#1	0#8#2	0#24#22	0#24#22	0#23#24	0#0#0	0#1#0	0#1#0	10668.056#10668.056#10614.101	592.66974#592.66974#589.67224	459.83#459.83#473.65158	0.15327667#0.15327667#0.15788387	23.2#23.2#22.40909	doesNotUseCompressionWhenUploadingNormalFiles.json
2661	16	0.0	9.590900310600802E-13	0	0	0	1	1.56	0	27	177.0	89.6015853881836	0	0	2	0	0	0	0	0	0	0	0	0	28643.354	1591.2974	1065.9591	0.3553197	26.870968	getsArtifactFromS3.json
1953	8	0.3737848401069641	0.5626521771513711	1	1	2	2	2.83	1	2	36.0	110.37039184570312	0	0	1	0	0	0	0	0	0	0	0	0	2320.5874	128.92152	162.84824	0.054282747	14.25	getJenkinsVersion.json
3039	3	0.8289137482643127	0.8798725493746185	0	0	0	1	1.89	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	284.93387	15.829659	51.806156	0.01726872	5.5	getName.json
3039	3	0.8115221261978149	0.9120962884420887	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getAwsAccessKey.json
